maincat;maincat_url;maincat_id
Meubels;/meubilair/;10
Speelgoed;/speelgoed_spelletjes/;332
Parfumerie;/parfum_aftershave/;29000
Games;/cddvdrom/;4
Sieraden;/sieraden_horloges/;347
Muziekinstrumenten;/muziekinstrument/;31000
Schoenen;/schoenen/;32000
Kleding;/mode/;137
Mode accessoires;/mode_accessoires/;33000
Dierenbenodigdheden;/dieren_accessoires/;34000
Auto's;/autos/;37000
Sport & outdoor;/sport_outdoor_vrije-tijd/;206
Fietsen;/fietsen/;38000
Klussen;/klussen/;35000
Tuinartikelen;/tuin_accessoires/;36000
Woonaccessoires;/huis_tuin/;165
Kantoor;/kantoorartikelen/;361
Sanitair;/main_sanitair/;27000
Drogisterij;/gezond_mooi/;286
Erotiek;/voor_volwassenen/;452
Baby & peuter;/baby_peuter/;8
Cadeaus & gadgets;/cadeaus_gadgets_culinair/;262
Eten & drinken;/eten_drinken/;11
Multimedia-accessoires;/accessoires/;40000
Horloges;/horloge/;30000
Films & Series;/films-series/;700
Boeken;/boeken/;701
Software;/software/;155
Computers;/computers/;6
Elektronica;/elektronica/;655
Huishoudelijk;/huishoudelijke_apparatuur/;12000
